Publication Number,Application Number,Disclosure-Information ,Specification,Responsible Working Group,CT WG 4,SA 2,RAN 3,RAN 2,RAN 5,RAN 6,SA 6,SA 5,CT WG 3,CT WG 1,RAN 4,SA 1,RAN 1,SA 3,CT WG 6,SA 4
KR2019095964A,KR20197023166A,ISLD : ISLD-201906-009 Disc : 36 Project : 3GPP 5G NR Standard : TS 38.413|TS 23.502 Version : 15.3.0|15.3.0 Section : | Disclosure-Date : 06/20/19,TS 38.413|TS 23.502,RAN 3|SA 2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN110138469A,CN201910448529A,ISLD : ISLD-201908-017 Disc : 63 Project : 3GPP 5G NR Standard : TS 38.214|TS 38.211|TS 38.331 Version : 15.6.0|15.6.0|15.6.0 Section : || Disclosure-Date : 08/23/19,TS 38.214|TS 38.211|TS 38.331,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
US20190254080A1,US16397221A,ISLD : ISLD-201705-014 Disc : 1 Project : 3GPP NR Rel 15 Standard : TS 38.133|TS 38.331|TS 38.321 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/19/17,TS 38.133|TS 38.331|TS 38.321,RAN 4|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
US20190253206A1,US16397672A,ISLD : ISLD-201802-006 Disc : 343 Project : 3GPP NR Rel 15 Standard : TS 38.212|TS 38.213|TS 38.211|TS 38.300|TS 38.214 Version : |||15.0.0| Section : |||| Disclosure-Date : 02/20/18,TS 38.212|TS 38.213|TS 38.211|TS 38.300|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
US20190254001A1,US16335769A,ISLD : ISLD-201809-275 Disc : 9 Project : 5G Standard : TS 23.501|TS 38.401|TS 38.300 Version : 15.2.0||15.2.0 Section : || Disclosure-Date : 09/14/18,TS 23.501|TS 38.401|TS 38.300,SA 2|RAN 3|RAN 2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
US20190254038A1,US15570475A,ISLD : ISLD-201809-325 Disc : 6 Project : 5G Standard : TS 38.331|TS 38.212 Version : 15.2.0|15.2.0 Section : | Disclosure-Date : 09/15/18,TS 38.331|TS 38.212,RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
US20190253228A1,US16393820A,"ISLD : ISLD-201809-335 Disc : 14 Project : 3GPP-Release-15 Standard : TS 38.300|TS 38.213|TS 38.214 Version : || Section : || Disclosure-Date : 09/07/18
ISLD : ISLD-201903-008 Disc : 18 Project : 3GPP-Release-15 Standard : TS 38.212|TS 38.331|TS 38.101|TS 38.306 Version : ||| Section : ||| Disclosure-Date : 04/03/19",TS 38.300|TS 38.213|TS 38.214,RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
WO2019153285A1,WO2018CN76075A,ISLD : ISLD-201902-039 Disc : 67 Project : 3GPP Standard : TS 38.322|TS 38.331 Version : | Section : | Disclosure-Date : 02/21/19,TS 38.322|TS 38.331,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
US20190253907A1,US16281160A,ISLD : ISLD-201905-023 Disc : 7 Project : 3GPP 5G NR Standard : TS 28.531|TS 28.550 Version : 15.0.0|15.0.0 Section : | Disclosure-Date : 05/10/19,TS 28.531|TS 28.550,SA 5|SA 5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
US20190253912A1,US16396312A,ISLD : ISLD-201906-030 Disc : 4 Project : 3GPP 5G NR Standard : TS 28.540 Version : 16.0.0 Section :  Disclosure-Date : 06/25/19,TS 28.540,SA 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
US20190253938A1,US16347553A,ISLD : ISLD-201907-037 Disc : 121 Project : 3GPP 5G NR Standard : TS 38.321|TS 38.300|TS 38.331 Version : 15.6.0|15.6.0|15.6.0 Section : || Disclosure-Date : 07/24/19,TS 38.321|TS 38.300|TS 38.331,RAN 2|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
EP3240336B1,EP2017164471A,ISLD : ISLD-201705-012 Disc : 30 Project : 3GPP NR Rel 15 Standard : TS 38.215 Version : 15.0.0 Section :  Disclosure-Date : 05/19/17,TS 38.215,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP3524007A1,EP2016918389A,ISLD : ISLD-201705-022 Disc : 3 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.423|TS 38.331|TS 38.214 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : ||| Disclosure-Date : 05/22/17,TS 38.213|TS 38.423|TS 38.331|TS 38.214,RAN 1|RAN 3|RAN 2|RAN 1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3419351A4,EP2017753523A,"ISLD : ISLD-201803-024 Disc : 7 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 24.501|TS 23.502 Version : | Section : | Disclosure-Date : 03/17/18
ISLD : ISLD-201807-023 Disc : 9 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 24.501|TS 23.502 Version : | Section : | Disclosure-Date : 07/08/18",TS 24.501|TS 23.502,CT WG 1|SA 2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JP06560457B2,JP2018542216A,"ISLD : ISLD-201809-266 Disc : 20 Project : 5G Standard : TS 38.213|TS 38.201|TS 38.300 Version : 15.2.0|15.0.0|15.2.0 Section : || Disclosure-Date : 09/14/18
ISLD : ISLD-201809-270 Disc : 4 Project : 5G Standard : TS 38.213 Version :  Section : 9.2.3 Disclosure-Date : 09/14/18",TS 38.213|TS 38.201|TS 38.300,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3518598A4,EP2017852279A,ISLD : ISLD-201810-033 Disc : 156 Project : 5G Standard : TS 38.211|TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.321 Version : ||||| Section : ||||| Disclosure-Date : 10/24/18,TS 38.211|TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.321,RAN 1|RAN 1|RAN 2|RAN 2|RAN 1|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0
EP3522638A4,EP2017854922A,ISLD : ISLD-201810-037 Disc : 35 Project : LTE-Advanced/5G Standard : TS 36.306 Version :  Section :  Disclosure-Date : 10/23/18,TS 36.306,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP3413633A4,EP2017747211A,"ISLD : ISLD-201811-004 Disc : 18 Project : 3GPP Release-15 Standard : TS 38.331|TS 38.331|TS 38.300|TS 38.300 Version : 15.2.0|15.2.0|15.2.0|15.2.0 Section : 5.2.2.3.2,5.2.2.3.3|||7.3 Disclosure-Date : 04/02/19",TS 38.331|TS 38.331|TS 38.300|TS 38.300,RAN 2|RAN 2|RAN 2|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
EP3413631A4,EP2017747201A,"ISLD : ISLD-201811-004 Disc : 19 Project : 3GPP Release-15 Standard : TS 38.331|TS 38.300|TS 38.331|TS 38.300 Version : 15.2.0|15.2.0|15.2.0|15.2.0 Section : 5.2.2.3.3|7.3,9.2.6|| Disclosure-Date : 04/02/19",TS 38.331|TS 38.300|TS 38.331|TS 38.300,RAN 2|RAN 2|RAN 2|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
AR111751A1,AR2018101156A,"ISLD : ISLD-201811-005 Disc : 106 Project : 3GPP Release-15 Standard : TS 38.212|TS 38.331|TS 38.214|TS 38.213 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : 4.1,4.2,7.3.1.1.1|4.2.1,6.3.2|6|4.1 Disclosure-Date : 04/02/19",TS 38.212|TS 38.331|TS 38.214|TS 38.213,RAN 1|RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
EP3506524A4,EP2016917358A,ISLD : ISLD-201902-039 Disc : 252 Project : 3GPP Standard : TS 38.331|TS 38.423 Version : | Section : | Disclosure-Date : 02/21/19,TS 38.331|TS 38.423,RAN 2|RAN 3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
EP3523917A1,EP2017860081A,ISLD : ISLD-201904-009 Disc : 8 Project : 5G Standard : TS 36.213|TS 36.213 Version : 15.4.0|15.4.0 Section : |7.3 Disclosure-Date : 04/09/19,TS 36.213|TS 36.213,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EP3512294A4,EP2017858699A,ISLD : ISLD-201905-036 Disc : 7 Project : 5G Standard : TS 36.412 Version :  Section :  Disclosure-Date : 05/17/19,TS 36.412,RAN 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EP2661123B1,EP2011855931A,ISLD : ISLD-201906-004 Disc : 249 Project : New Core(NC) Standard : TS 23.216 Version :  Section :  Disclosure-Date : 06/06/19,TS 23.216,SA 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3496487A4,EP2017839488A,"ISLD : ISLD-201907-035 Disc : 86 Project : 3GPP-Release-15 Standard : TS 38.212|TS 38.212|TS 38.331|TS 38.213|TS 38.331|TS 38.213 Version : 15.3.0|15.3.0|15.3.0|15.3.0|15.3.0|15.3.0 Section : |Section7.3.1.1.2,7.3.1.2.2|Section6.3.2|||Section12 Disclosure-Date : 07/24/19",TS 38.212|TS 38.212|TS 38.331|TS 38.213|TS 38.331|TS 38.213,RAN 1|RAN 1|RAN 2|RAN 1|RAN 2|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
EP2425551B1,EP2010769941A,ISLD : ISLD-201907-046 Disc : 53 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.304|TS 38.304|TS 36.331 Version : ||| Section : ||| Disclosure-Date : 07/31/19,TS 38.331|TS 36.304|TS 38.304|TS 36.331,RAN 2|RAN 2|RAN 2|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
EP3382931B1,EP2018169003A,ISLD : ISLD-201907-046 Disc : 68 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 33.303|TS 36.300 Version : || Section : || Disclosure-Date : 07/31/19,TS 38.300|TS 33.303|TS 36.300,RAN 2|SA 3|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
US10382180B2,US15726270A,"ISLD : ISLD-201802-006 Disc : 95 Project : 3GPP NR Rel 15 Standard : TS 38.212|TS 38.213|TS 38.300|TS 38.331|TS 38.214 Version : ||15.0.0|15.0.0| Section : |||| Disclosure-Date : 02/20/18
ISLD : ISLD-201802-006 Disc : 96 Project : 3GPP NR Rel 15 Standard : TS 38.212|TS 38.213|TS 38.331|TS 38.214 Version : ||15.0.0| Section : ||| Disclosure-Date : 02/20/18",TS 38.212|TS 38.213|TS 38.300|TS 38.331|TS 38.214,RAN 1|RAN 1|RAN 2|RAN 2|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
CN109041138B,CN201810730743A,ISLD : ISLD-201804-016 Disc : 114 Project : New Radio(NR) Standard : TS 38.300|TS 38.413|TS 23.502|TS 23.501 Version : ||| Section : ||| Disclosure-Date : 04/24/18,TS 38.300|TS 38.413|TS 23.502|TS 23.501,RAN 2|RAN 3|SA 2|SA 2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
US10383111B2,US14713357A,"ISLD : ISLD-201812-005 Disc : 35 Project : 5G Standard : TS 38.213|TS 38.212|TS 38.331|TS 38.331 Version : 15.3.0|15.3.0|15.3.0|15.3.0 Section : 9.2.1, 9.2.2, 9.2.3, 9.2.5, 9.2.5.2|6.3.1.1.3||6.3.2 Disclosure-Date : 12/18/18",TS 38.213|TS 38.212|TS 38.331|TS 38.331,RAN 1|RAN 1|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
KR2019094404A,KR20197019940A,ISLD : ISLD-201812-070 Disc : 170 Project : 5G Standard : TS 38.300|TS 38.213|TS 38.211|TS 38.331|TS 38.321 Version : |||| Section : |||| Disclosure-Date : 01/02/19,TS 38.300|TS 38.213|TS 38.211|TS 38.331|TS 38.321,RAN 2|RAN 1|RAN 1|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
US10383034B2,US14910216A,ISLD : ISLD-201905-014 Disc : 15 Project : 3GPP 5G NR|3GPP-Release-15 Standard : TS 38.331|TS 36.213|TS 36.300|TS 38.213|TS 36.331 Version : 15.1.0|15.1.0|15.1.0|15.1.0|15.1.0 Section : |||| Disclosure-Date : 05/09/19,TS 38.331|TS 36.213|TS 36.300|TS 38.213|TS 36.331,RAN 2|RAN 1|RAN 2|RAN 1|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
KR1971783B1,KR201781164A,ISLD : ISLD-201907-026 Disc : 13 Project : 3GPP 5G NR Standard : TS 38.331|TS 38.304 Version : | Section : | Disclosure-Date : 05/09/19,TS 38.331|TS 38.304,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
US10383152B2,US15755453A,ISLD : ISLD-201907-038 Disc : 4 Project : 5G|3GPP-Release-14 Standard : TS 36.212|TS 36.321 Version : | Section : | Disclosure-Date : 08/21/19,TS 36.212|TS 36.321,RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
US10382183B2,US16193821A,ISLD : ISLD-201907-043 Disc : 1 Project : LTE Advanced Pro/5G Standard : TS 38.321|TS 38.331|TS 36.321 Version : 15.6.0|15.6.0|15.6.0 Section : || Disclosure-Date : 07/31/19,TS 38.321|TS 38.331|TS 36.321,RAN 2|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
RU2018104464A3,RU2018104464A,ISLD : ISLD-201806-010 Disc : 16 Project : 3GPP NR Rel 15 Standard : TS 38.455 Version :  Section :  Disclosure-Date : 06/08/18,TS 38.455,RAN 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN110115013A,CN201780050952A,ISLD : ISLD-201809-313 Disc : 18 Project : 5G Standard : TS 23.501|TS 23.502|TS 33.501|TS 23.503 Version : 15.2.0|15.2.0|15.1.0|15.2.0 Section : ||| Disclosure-Date : 09/14/18,TS 23.501|TS 23.502|TS 33.501|TS 23.503,SA 2|SA 2|SA 3|SA 2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CN110115082A,CN201780081008A,ISLD : ISLD-201907-038 Disc : 10 Project : 5G Standard : TS 38.213|TS 38.211|TS 38.321 Version : || Section : || Disclosure-Date : 08/21/19,TS 38.213|TS 38.211|TS 38.321,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
US20190245596A1,US16385034A,ISLD : ISLD-201802-006 Disc : 258 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.211|TS 38.300|TS 38.214 Version : ||15.0.0| Section : ||| Disclosure-Date : 02/20/18,TS 38.213|TS 38.211|TS 38.300|TS 38.214,RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
US20190246405A1,US16384478A,ISLD : ISLD-201807-048 Disc : 5 Project :  Standard : TS 38.212|TS 38.213|TS 38.211|TS 38.214|TS 38.300 Version : ||||15.1.0 Section : |||| Disclosure-Date : 07/11/18,TS 38.212|TS 38.213|TS 38.211|TS 38.214|TS 38.300,RAN 1|RAN 1|RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
US20190246372A1,US16232972A,ISLD : ISLD-201809-246 Disc : 55 Project : 5G Standard : TS 38.322|TS 38.331|TS 38.423|TS 38.321|TS 38.413 Version : |||| Section : |||| Disclosure-Date : 09/14/18,TS 38.322|TS 38.331|TS 38.423|TS 38.321|TS 38.413,RAN 2|RAN 2|RAN 3|RAN 2|RAN 3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ES2722225T3,ES2011716723T,"ISLD : ISLD-201810-061 Disc : 1 Project : 5G Standard : TS 29.118|TS 29.118 Version : 15.2.0|15.2.0 Section : |5.11.2.2.2, 8.23 Disclosure-Date : 10/23/18",TS 29.118|TS 29.118,CT WG 1|CT WG 1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
JP2019026514A1,JP2018552893A,ISLD : ISLD-201903-014 Disc : 24 Project : 3GPP NR Rel 15 Standard : TS 38.331|TS 38.212|TS 38.331|TS 38.211|TS 38.213 Version : 15.4.0||15.4.0|| Section : |7.3.1.2.1|7.3.1.2.2|6.3.2|4.4.4.4|12|9.2.1 Disclosure-Date : 03/29/19,TS 38.331|TS 38.212|TS 38.331|TS 38.211|TS 38.213,RAN 2|RAN 1|RAN 2|RAN 1|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
US20190246375A1,US16387217A,ISLD : ISLD-201906-009 Disc : 30 Project : 3GPP 5G NR Standard : TS 38.331|TS 23.501|TS 38.423 Version : 15.3.0|15.3.0|15.3.0 Section : || Disclosure-Date : 06/20/19,TS 38.331|TS 23.501|TS 38.423,RAN 2|SA 2|RAN 3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
US20190246320A1,US16383932A,"ISLD : ISLD-201907-037 Disc : 17 Project : LTE Advanced Pro/5G Standard : TS 36.300|TS 38.300|TS 36.463|TS 36.423 Version : 15.6.0|15.6.0|15.0.0|15.6.0 Section : ||| Disclosure-Date : 07/24/19
ISLD : ISLD-201907-046 Disc : 86 Project : LTE Advanced Pro/5G Standard : TS 36.463|TS 38.331|TS 36.331|TS 38.463 Version : ||| Section : ||| Disclosure-Date : 07/31/19",TS 36.300|TS 38.300|TS 36.463|TS 36.423,RAN 2|RAN 2|RAN 3|RAN 3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
US20190245800A1,US16343682A,ISLD : ISLD-201907-037 Disc : 157 Project : 3GPP 5G NR Standard : TS 38.214|TS 38.321|TS 38.331 Version : 15.6.0|15.6.0|15.6.0 Section : || Disclosure-Date : 07/24/19,TS 38.214|TS 38.321|TS 38.331,RAN 1|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
US20190246306A1,US16271306A,ISLD : ISLD-201909-011 Disc : 1 Project : 5G Standard : TS 38.331|TS 38.133 Version : | Section : | Disclosure-Date : 09/06/19,TS 38.331|TS 38.133,RAN 2|RAN 4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
EP3520461A1,EP2017711528A,ISLD : ISLD-201712-045 Disc : 30 Project : 3GPP 5G NR Standard : TS 38.211|TS 38.300|TS 38.212|TS 38.201|TS 38.321|TS 38.215 Version : ||||| Section : ||||| Disclosure-Date : 12/29/17,TS 38.211|TS 38.300|TS 38.212|TS 38.201|TS 38.321|TS 38.215,RAN 1|RAN 2|RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
EP2975893B1,EP2014762365A,ISLD : ISLD-201802-006 Disc : 281 Project : 3GPP NR Rel 15 Standard : TS 38.331|TS 37.340|TS 38.300 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 02/20/18,TS 38.331|TS 37.340|TS 38.300,RAN 2|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
EP3520344A1,EP2017784989A,ISLD : ISLD-201809-221 Disc : 2 Project : 5G Standard : TS 38.211|TS 38.300 Version : 15.2.0|15.2.0 Section : | Disclosure-Date : 09/13/18,TS 38.211|TS 38.300,RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
JP06557421B2,JP2018533986A,"ISLD : ISLD-201809-271 Disc : 3 Project : 5G Standard : TS 36.331|TS 36.331|TS 36.213|TS 36.321|TS 36.213|TS 36.321 Version : 15.2.2|15.2.2|15.2.0|15.2.0|15.2.0|15.2.0 Section : |6.7.3.2|16.6|||3.1 Disclosure-Date : 09/14/18
ISLD : ISLD-201809-325 Disc : 7 Project : 5G Standard : TS 38.213|TS 38.321|TS 38.331 Version : 15.2.0|15.2.0|15.2.0 Section : || Disclosure-Date : 09/15/18",TS 36.331|TS 36.331|TS 36.213|TS 36.321|TS 36.213|TS 36.321,RAN 2|RAN 2|RAN 1|RAN 2|RAN 1|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
EP3425936A4,EP2016892354A,ISLD : ISLD-201809-273 Disc : 65 Project : 5G Standard : TS 38.331|TS 38.213|TS 38.211|TS 38.214|TS 23.501 Version : |||| Section : |||| Disclosure-Date : 09/18/18,TS 38.331|TS 38.213|TS 38.211|TS 38.214|TS 23.501,RAN 2|RAN 1|RAN 1|RAN 1|SA 2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0
